"id","acelX","acelY","acelZ","girX","girY","girZ","idTipoMovimento","mag"
10029,1507.0,-369.0,2854.0,5136.0,6466.0,3027.0,2,12363.0
10030,1025.0,-1899.0,3246.0,5184.0,-107.0,97.0,2,8942.0
10031,1212.0,-1822.0,3334.0,5104.0,374.0,1663.0,2,-1687.0
10032,1160.0,-1700.0,3784.0,5168.0,-20692.0,-8385.0,2,4600.0
10033,1429.0,-3117.0,2012.0,5168.0,517.0,1481.0,2,-3169.0
10034,2637.0,-2566.0,3716.0,5136.0,1414.0,6883.0,2,-452.0
10035,1557.0,-1096.0,3114.0,5200.0,-4297.0,-563.0,2,1899.0
10036,1255.0,-1043.0,2945.0,5280.0,4413.0,-177.0,2,2653.0
10037,1985.0,-982.0,3175.0,5200.0,8069.0,3019.0,2,18845.0
10038,947.0,-260.0,5649.0,5168.0,12084.0,2868.0,2,10446.0
10039,965.0,-35.0,3640.0,5136.0,-8966.0,-7459.0,2,-6444.0
10040,1566.0,-1356.0,2770.0,5232.0,5820.0,5894.0,2,-1633.0
10041,1349.0,-402.0,4154.0,5120.0,6450.0,4026.0,2,3237.0
10042,383.0,-757.0,3451.0,5184.0,504.0,-1181.0,2,-7032.0
10043,776.0,-1023.0,2887.0,5280.0,1475.0,1269.0,2,1167.0
10044,663.0,-748.0,4057.0,5248.0,-4238.0,-3008.0,2,-805.0
10045,1015.0,-1557.0,3780.0,5120.0,-196.0,2118.0,2,-7609.0
10046,1165.0,-347.0,3022.0,5120.0,2887.0,-138.0,2,3359.0
10047,965.0,-533.0,2980.0,5200.0,-12495.0,-6888.0,2,-6564.0
10048,1799.0,-1275.0,5201.0,5184.0,18956.0,8689.0,2,12761.0
10049,728.0,71.0,3602.0,5072.0,-9134.0,-2779.0,2,-16304.0
10050,12.0,-1235.0,3864.0,5136.0,4459.0,3159.0,2,-7995.0
10051,854.0,274.0,4114.0,5072.0,-8927.0,-7135.0,2,-228.0
10052,352.0,-1259.0,4380.0,5200.0,-6571.0,-7356.0,2,-16737.0
10053,962.0,-879.0,3028.0,5248.0,2856.0,-2388.0,2,16807.0
10054,969.0,-355.0,3168.0,5168.0,-3377.0,-3370.0,2,-1339.0
10055,1731.0,-946.0,4450.0,5184.0,1389.0,1230.0,2,6671.0
10056,825.0,70.0,3284.0,5184.0,467.0,-5268.0,2,16023.0
10057,777.0,-433.0,3026.0,5136.0,-856.0,-6938.0,2,6807.0
10058,1305.0,-876.0,3806.0,5168.0,-2157.0,-443.0,2,-4440.0
10059,1649.0,-1361.0,2238.0,5168.0,768.0,-3466.0,2,4890.0
10060,934.0,394.0,3394.0,5184.0,-9443.0,-7207.0,2,-282.0
10061,792.0,-547.0,3564.0,5136.0,-2064.0,-2104.0,2,-2788.0
10062,1748.0,-579.0,4663.0,5200.0,529.0,2338.0,2,-1551.0
10063,1192.0,-284.0,2790.0,5200.0,2531.0,-1404.0,2,10618.0
